srhid,lat,lon
1501427859,37.7,-121.86
1811000851,20.76,-155.99
1468250100,37.04,-121.62
1940097339,37.16,-121.65
1590461811,20.87,-156.47
1862596851,20.76,-156.45
1498132857,37.31,-121.95
2077997721,20.86,-156.32
1194818906,20.87,-156.5
1025693371,20.86,-156.67
1568919032,37.04,-122.04
2040484054,37.39,-122.1
1699119309,21.4,-158
1748374615,20.87,-156.32
1257822845,19.61,-156
1826982603,19.55,-155
1480542962,19.6,-155
1415396657,19.7,-156
1015910829,19.94,-155.78
1667792799,19.56,-154.9
1146362575,21.4,-158.03
1463512278,19.58,-154.95
1075016781,19.62,-156
1682950526,19.94,-155.8
1612510140,19.74,-155.09
1080097133,19.94,-155.79
1695955536,19.58,-155
2101522395,20.73,-156.45
1906210555,20.89,-156.21
1339556141,20.91,-156.49
1425776954,36.77,-119.86
2075499421,19.61,-156
1055204033,20.73,-156.45
1004898253,19.6,-154.95
1222686759,20.86,-156.48
1136248298,20.76,-156.45
1780096731,19.7,-155.07
1073287872,20.92,-156.27
2118683719,20.88,-156.48
1751266978,20.87,-156.48
1795493738,19.83,-155.11
