timeseriestimestamp,Day,15 Min Interval,powerConsumption,powerFeedIn,powerProduction,powerPurchased,powerSelfConsumption
7/1/2017 0:00,7/1/2017,12:00 AM,49.666668,0,49.333332,0,49.333332
7/1/2017 0:15,7/1/2017,12:15 AM,51,0,51.333332,0,51
7/1/2017 0:30,7/1/2017,12:30 AM,34.333332,0,35.666668,0,34.333332
7/1/2017 0:45,7/1/2017,12:45 AM,50.666668,0,51.333332,0,50.666668
7/1/2017 1:00,7/1/2017,1:00 AM,43.09109,8.242241,51,0,43.09109
7/1/2017 1:15,7/1/2017,1:15 AM,51.333332,0,52,0,51.333332
7/1/2017 1:30,7/1/2017,1:30 AM,52,0,51.666668,0,51.666668
7/1/2017 1:45,7/1/2017,1:45 AM,51,0,51,0,51
7/1/2017 2:00,7/1/2017,2:00 AM,51,0,51,0,51
7/1/2017 2:15,7/1/2017,2:15 AM,51.666668,0,52,0,51.666668
7/1/2017 2:30,7/1/2017,2:30 AM,51.333332,0,52.666668,0,51.333332
7/1/2017 2:45,7/1/2017,2:45 AM,50.666668,0,49.666668,0,49.666668
7/1/2017 3:00,7/1/2017,3:00 AM,50,0,51,0,50
7/1/2017 3:15,7/1/2017,3:15 AM,51.666668,0,51.333332,0,51.333332
7/1/2017 3:30,7/1/2017,3:30 AM,51.333332,0,50.666668,0,50.666668
7/1/2017 3:45,7/1/2017,3:45 AM,50.333332,0,51.666668,0,50.333332
7/1/2017 4:00,7/1/2017,4:00 AM,51.666668,0,50.666668,0,50.666668
7/1/2017 4:15,7/1/2017,4:15 AM,52.333332,0,51.666668,0,51.666668
7/1/2017 4:30,7/1/2017,4:30 AM,52,0,51.333332,0,51.333332
7/1/2017 4:45,7/1/2017,4:45 AM,51.333332,0,51,0,51
7/1/2017 5:00,7/1/2017,5:00 AM,49.666668,0,50,0,49.666668
7/1/2017 5:15,7/1/2017,5:15 AM,50.333332,0,50,0,50
7/1/2017 5:30,7/1/2017,5:30 AM,51,0,51,0,51
7/1/2017 5:45,7/1/2017,5:45 AM,51.333332,0,51,0,51
7/1/2017 6:00,7/1/2017,6:00 AM,52,0,52,0,52
7/1/2017 6:15,7/1/2017,6:15 AM,51.666668,0,50.666668,0,50.666668
7/1/2017 6:30,7/1/2017,6:30 AM,51.333332,0,52,0,51.333332
7/1/2017 6:45,7/1/2017,6:45 AM,52,0,51.333332,0,51.333332
7/1/2017 7:00,7/1/2017,7:00 AM,43.975815,8.357517,51.333332,0,43.975815
7/1/2017 7:15,7/1/2017,7:15 AM,50.666668,0,50.666668,0,50.666668
7/1/2017 7:30,7/1/2017,7:30 AM,50.333332,0,51,0,50.333332
7/1/2017 7:45,7/1/2017,7:45 AM,707,0,712,0,707
7/1/2017 8:00,7/1/2017,8:00 AM,1932.3334,0,1935,0,1932.3334
7/1/2017 8:15,7/1/2017,8:15 AM,2151,0,2144.6667,0,2144.6667
7/1/2017 8:30,7/1/2017,8:30 AM,2153.3333,0,2179.3333,0,2153.3333
7/1/2017 8:45,7/1/2017,8:45 AM,2562.5178,0,2557.6667,8.184603,2557.6667
7/1/2017 9:00,7/1/2017,9:00 AM,2692.3333,0,2693.6667,0,2692.3333
7/1/2017 9:15,7/1/2017,9:15 AM,2869.6667,0,2867.6667,0,2867.6667
7/1/2017 9:30,7/1/2017,9:30 AM,3040.2998,0,3022,8.299879,3022
7/1/2017 9:45,7/1/2017,9:45 AM,3172.3333,0,3188.6667,0,3172.3333
7/1/2017 10:00,7/1/2017,10:00 AM,3284.6667,0,3295.6667,0,3284.6667
7/1/2017 10:15,7/1/2017,10:15 AM,3418.7158,0,3415,9.049173,3415
7/1/2017 10:30,7/1/2017,10:30 AM,3540.6667,0,3529.3333,0,3529.3333
7/1/2017 10:45,7/1/2017,10:45 AM,3620,0,3622.6667,0,3620
7/1/2017 11:00,7/1/2017,11:00 AM,3695,0,3685.6667,0,3685.6667
7/1/2017 11:15,7/1/2017,11:15 AM,3729.3333,0,3753,0,3729.3333
7/1/2017 11:30,7/1/2017,11:30 AM,3803.6667,0,3775.3333,0,3775.3333
7/1/2017 11:45,7/1/2017,11:45 AM,3882,0,3881.6667,0,3881.6667
7/1/2017 12:00,7/1/2017,12:00 PM,3883.6667,0,3883.3333,0,3883.3333
7/1/2017 12:15,7/1/2017,12:15 PM,3945,0,3927.3333,0,3927.3333
7/1/2017 12:30,7/1/2017,12:30 PM,3949,0,3938.6667,0,3938.6667
7/1/2017 12:45,7/1/2017,12:45 PM,3962.6667,0,3969.3333,0,3962.6667
7/1/2017 13:00,7/1/2017,1:00 PM,3996.3333,0,3992.3333,0,3992.3333
7/1/2017 13:15,7/1/2017,1:15 PM,3991.3333,0,4003,0,3991.3333
7/1/2017 13:30,7/1/2017,1:30 PM,3972.6667,0,3985.3333,0,3972.6667
7/1/2017 13:45,7/1/2017,1:45 PM,3931.3333,0,3944,0,3931.3333
7/1/2017 14:00,7/1/2017,2:00 PM,3912.3333,0,3905,0,3905
7/1/2017 14:15,7/1/2017,2:15 PM,3868.6667,0,3864.6667,0,3864.6667
7/1/2017 14:30,7/1/2017,2:30 PM,3800,0,3805.3333,0,3800
7/1/2017 14:45,7/1/2017,2:45 PM,3755,0,3747,0,3747
7/1/2017 15:00,7/1/2017,3:00 PM,3665.6667,0,3670.6667,0,3665.6667
7/1/2017 15:15,7/1/2017,3:15 PM,3582.6667,0,3565.6667,0,3565.6667
7/1/2017 15:30,7/1/2017,3:30 PM,3462.6667,0,3487,0,3462.6667
7/1/2017 15:45,7/1/2017,3:45 PM,3355,0,3350,0,3350
7/1/2017 16:00,7/1/2017,4:00 PM,3230,0,3223.6667,0,3223.6667
7/1/2017 16:15,7/1/2017,4:15 PM,3087,0,3091,0,3087
7/1/2017 16:30,7/1/2017,4:30 PM,2952.6667,0,2947,0,2947
7/1/2017 16:45,7/1/2017,4:45 PM,2785,0,2762.3333,0,2762.3333
7/1/2017 17:00,7/1/2017,5:00 PM,2634.6667,0,2641.6667,0,2634.6667
7/1/2017 17:15,7/1/2017,5:15 PM,2448.6667,0,2453.6667,0,2448.6667
7/1/2017 17:30,7/1/2017,5:30 PM,2279.6667,0,2290.6667,0,2279.6667
7/1/2017 17:45,7/1/2017,5:45 PM,2103.6667,0,2107.6667,0,2103.6667
7/1/2017 18:00,7/1/2017,6:00 PM,1891,0,1887.3334,0,1887.3334
7/1/2017 18:15,7/1/2017,6:15 PM,1690,0,1697.6666,0,1690
7/1/2017 18:30,7/1/2017,6:30 PM,1486,0,1480.3334,0,1480.3334
7/1/2017 18:45,7/1/2017,6:45 PM,1252,0,1266.6666,0,1252
7/1/2017 19:00,7/1/2017,7:00 PM,1034.3334,0,1037.3334,0,1034.3334
7/1/2017 19:15,7/1/2017,7:15 PM,824.6667,0,815,0,815
7/1/2017 19:30,7/1/2017,7:30 PM,554,0,554,0,554
7/1/2017 19:45,7/1/2017,7:45 PM,306.66666,0,308.66666,0,306.66666
7/1/2017 20:00,7/1/2017,8:00 PM,124.666664,0,120.333336,0,120.333336
7/1/2017 20:15,7/1/2017,8:15 PM,50.666668,0,51.333332,0,50.666668
7/1/2017 20:30,7/1/2017,8:30 PM,51,0,51.666668,0,51
7/1/2017 20:45,7/1/2017,8:45 PM,51.666668,0,51,0,51
7/1/2017 21:00,7/1/2017,9:00 PM,50,0,50,0,50
7/1/2017 21:15,7/1/2017,9:15 PM,50.333332,0,50,0,50
7/1/2017 21:30,7/1/2017,9:30 PM,52,0,52,0,52
7/1/2017 21:45,7/1/2017,9:45 PM,50.621525,8.242241,50.333332,8.530431,50.333332
7/1/2017 22:00,7/1/2017,10:00 PM,49.666668,0,48.666668,0,48.666668
7/1/2017 22:15,7/1/2017,10:15 PM,51.666668,0,50.666668,0,50.666668
7/1/2017 22:30,7/1/2017,10:30 PM,49.75,0,50,0,49.75
7/1/2017 22:45,7/1/2017,10:45 PM,51.666668,0,49.333332,0,49.333332
7/1/2017 23:00,7/1/2017,11:00 PM,49.333332,0,49,0,49
7/1/2017 23:15,7/1/2017,11:15 PM,50.666668,0,51.666668,0,50.666668
7/1/2017 23:30,7/1/2017,11:30 PM,51.333332,0,52,0,51.333332
7/1/2017 23:45,7/1/2017,11:45 PM,51.333332,0,50.666668,0,50.666668
7/2/2017 0:00,7/2/2017,12:00 AM,49,0,50.333332,0,49
7/2/2017 0:15,7/2/2017,12:15 AM,51.666668,0,51,0,51
7/2/2017 0:30,7/2/2017,12:30 AM,51,0,51,0,51
7/2/2017 0:45,7/2/2017,12:45 AM,50.666668,0,50.666668,0,50.666668
7/2/2017 1:00,7/2/2017,1:00 AM,50,0,50,0,50
7/2/2017 1:15,7/2/2017,1:15 AM,49.333332,0,50,0,49.333332
7/2/2017 1:30,7/2/2017,1:30 AM,33.666668,0,32.666668,0,32.666668
7/2/2017 1:45,7/2/2017,1:45 AM,50.333332,0,50,0,50
7/2/2017 2:00,7/2/2017,2:00 AM,49.666668,0,49.666668,0,49.666668
7/2/2017 2:15,7/2/2017,2:15 AM,51,0,50,0,50
7/2/2017 2:30,7/2/2017,2:30 AM,50.333332,0,51.666668,0,50.333332
7/2/2017 2:45,7/2/2017,2:45 AM,51,0,50.333332,0,50.333332
7/2/2017 3:00,7/2/2017,3:00 AM,50.333332,0,51,0,50.333332
7/2/2017 3:15,7/2/2017,3:15 AM,51.333332,0,50.666668,0,50.666668
7/2/2017 3:30,7/2/2017,3:30 AM,40.584846,8.415155,48.333332,0,40.584846
7/2/2017 3:45,7/2/2017,3:45 AM,49.333332,0,51,0,49.333332
7/2/2017 4:00,7/2/2017,4:00 AM,49.666668,0,50.333332,0,49.666668
7/2/2017 4:15,7/2/2017,4:15 AM,50.666668,0,50.333332,0,50.333332
7/2/2017 4:30,7/2/2017,4:30 AM,51,0,50.333332,0,50.333332
7/2/2017 4:45,7/2/2017,4:45 AM,49.666668,0,51.333332,0,49.666668
7/2/2017 5:00,7/2/2017,5:00 AM,51.333332,0,51.333332,0,51.333332
7/2/2017 5:15,7/2/2017,5:15 AM,52,0,51.666668,0,51.666668
7/2/2017 5:30,7/2/2017,5:30 AM,50.666668,0,52,0,50.666668
7/2/2017 5:45,7/2/2017,5:45 AM,52,0,51.333332,0,51.333332
7/2/2017 6:00,7/2/2017,6:00 AM,51,0,50.333332,0,50.333332
