timestamp,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed
"2017-07-01 00:00:00","57.1","0.06","51.31","0.81","clear-night","0","0","1014.41","Clear","57.1","1498892400","10","291","7.6"
"2017-07-01 01:00:00","56.7","0.07","51.28","0.82","clear-night","0","0","1014.14","Clear","56.7","1498896000","9.85","281","6.44"
"2017-07-01 02:00:00","55.88","0.05","51.54","0.85","clear-night","0","0","1014.01","Clear","55.88","1498899600","9.87","251","11.93"
"2017-07-01 03:00:00","56.56","0.03","51.83","0.84","clear-night","0","0","1013.68","Clear","56.56","1498903200","9.89","261","9.77"
"2017-07-01 04:00:00","56.21","0.03","51.55","0.84","clear-night","0","0","1013.53","Clear","56.21","1498906800","9.88","249","7.95"
"2017-07-01 05:00:00","55.6","0.11","51.02","0.85","clear-night","0","0","1013.73","Clear","55.6","1498910400","9.95","257","8.21"
"2017-07-01 06:00:00","55.31","0.09","50.66","0.84","clear-day","0","0","1013.96","Clear","55.31","1498914000","9.81","251","7.08"
"2017-07-01 07:00:00","56.01","0.16","51.35","0.84","clear-day","0","0","1014.04","Clear","56.01","1498917600","9.83","220","4.63"
"2017-07-01 08:00:00","57.87","0.13","50.83","0.77","clear-day","0","0","1014.06","Clear","57.87","1498921200","9.92","256","7.69"
"2017-07-01 09:00:00","59.55","0.13","50.42","0.72","clear-day","0","0","1013.98","Clear","59.55","1498924800","9.92","269","6.01"
"2017-07-01 10:00:00","61.25","0.15","50.47","0.68","clear-day","0","0","1013.81","Clear","61.25","1498928400","9.96","262","6.29"
"2017-07-01 11:00:00","63.26","0.14","50.55","0.63","clear-day","0","0","1013.73","Clear","63.26","1498932000","9.95","250","9.26"
"2017-07-01 12:00:00","65.87","0.16","51.68","0.6","clear-day","0","0","1013.39","Clear","65.87","1498935600","10","318","6.01"
"2017-07-01 13:00:00","67.04","0.16","51.8","0.58","clear-day","0","0","1013.07","Clear","67.04","1498939200","10","322","8.58"
"2017-07-01 14:00:00","68.46","0.16","52.65","0.57","clear-day","0","0","1012.5","Clear","68.46","1498942800","10","314","8.18"
"2017-07-01 15:00:00","69.56","0.16","53.28","0.56","clear-day","0","0","1012.06","Clear","69.56","1498946400","10","313","10.32"
"2017-07-01 16:00:00","69.88","0.16","53.63","0.56","clear-day","0","0","1011.36","Clear","69.88","1498950000","10","315","11.76"
"2017-07-01 17:00:00","69.5","0.1","54.02","0.58","clear-day","0","0","1011.04","Clear","69.5","1498953600","10","313","11.33"
"2017-07-01 18:00:00","68.21","0.1","54","0.6","clear-day","0","0","1010.85","Clear","68.21","1498957200","10","314","11.02"
"2017-07-01 19:00:00","65.89","0.1","53.69","0.65","clear-day","0","0","1011.03","Clear","65.89","1498960800","10","319","10.26"
"2017-07-01 20:00:00","62.69","0.1","53.5","0.72","clear-day","0","0","1011.36","Clear","62.69","1498964400","9.74","317","9.21"
"2017-07-01 21:00:00","60.23","0.07","53.61","0.79","clear-night","0","0","1011.59","Clear","60.23","1498968000","9.91","312","7.86"
"2017-07-01 22:00:00","59.22","0.07","52.4","0.78","clear-night","0","0","1011.98","Clear","59.22","1498971600","9.78","306","5.79"
"2017-07-01 23:00:00","58.06","0.09","52.35","0.81","clear-night","0","0","1012.11","Clear","58.06","1498975200","9.9","301","3.56"
"2017-07-02 00:00:00","57.88","0.09","52.16","0.81","clear-night","0","0","1012.25","Clear","57.88","1498978800","9.82","299","3.58"
"2017-07-02 01:00:00","57.07","0.19","52.43","0.84","clear-night","0","0","1012.21","Clear","57.07","1498982400","9.88","306","3.14"
"2017-07-02 02:00:00","56.79","0","52.95","0.87","clear-night","0","0","1012.05","Clear","56.79","1498986000","9.88","300","2.44"
"2017-07-02 03:00:00","56.63","0","52.86","0.87","clear-night","0","0","1011.9","Clear","56.63","1498989600","9.88","296","1.8"
"2017-07-02 04:00:00","57.12","0.27","52.71","0.85","partly-cloudy-night","0","0","1011.89","Partly Cloudy","57.12","1498993200","9.88","204","1.03"
"2017-07-02 05:00:00","56.87","0.08","51.97","0.84","clear-night","0","0","1012.22","Clear","56.87","1498996800","9.95","225","0.23"
"2017-07-02 06:00:00","56.7","0.31","51.13","0.82","partly-cloudy-day","0","0","1012.72","Partly Cloudy","56.7","1499000400","9.88","148","2.49"
"2017-07-02 07:00:00","57.24","0.19","52.52","0.84","clear-day","0","0","1013.19","Clear","57.24","1499004000","9.87","143","3.93"
"2017-07-02 08:00:00","59.67","0.28","52.51","0.77","partly-cloudy-day","0","0","1013.66","Partly Cloudy","59.67","1499007600","9.91","130","4.6"
"2017-07-02 09:00:00","61.58","0.16","52.94","0.73","clear-day","0","0","1013.93","Clear","61.58","1499011200","10","146","4.45"
"2017-07-02 10:00:00","64.07","0.16","52.91","0.67","clear-day","0","0","1013.78","Clear","64.07","1499014800","10","77","2.13"
"2017-07-02 11:00:00","67.46","0.08","52.52","0.59","clear-day","0","0","1013.79","Clear","67.46","1499018400","10","105","1.14"
"2017-07-02 12:00:00","70.94","0.08","52.62","0.52","clear-day","0","0","1013.9","Clear","70.94","1499022000","10","300","2.43"
